ID,Formula,Bulk,Mo,Nb,Ta,Ti,V,W,Zr
10132,Zr45Ti15Mo53W15,156.2698,53,0,0,15,0,15,45
6071,Zr38Nb15V45W30,148.277713,0,15,0,0,45,30,38
166,Zr15Ta45Ti30W38,174.010909,0,0,45,30,0,38,15
8792,Ta30V75Mo23,196.854717,23,0,30,0,75,0,0
9805,Zr45Ta38Mo30W15,157.554083,30,0,38,0,0,15,45
8139,Zr30Ta30V30Mo23W15,164.908025,23,0,30,0,30,15,30
9823,Zr45Ta30V38W15,136.66563,0,0,30,0,38,15,45
6291,Ta68Ti15V45,175.07126,0,0,68,15,45,0,0
3387,Zr23Ti15V60Mo30,150.448815,30,0,0,15,60,0,23
2889,Ti38Nb15V30Mo15W30,181.115044,15,15,0,38,30,30,0
3980,Zr38Ta30Ti45V15,113.740773,0,0,30,45,15,0,38
7185,Ta23V75W30,208.477201,0,0,23,0,75,30,0
6265,Zr15Ta30Ti30Nb15V23W15,151.462298,0,15,30,30,23,15,15
2631,Zr30Ta15Nb15Mo68,182.054237,68,15,15,0,0,0,30
1881,Zr30Ta30Ti15W53,176.594178,0,0,30,15,0,53,30
11226,Zr30Ta15Ti30V53,121.518564,0,0,15,30,53,0,30
2067,Zr30Ta68V30,146.728571,0,0,68,0,30,0,30
11014,Ta75Mo53,220.91602,53,0,75,0,0,0,0
2852,Ta38Ti15V75,170.10222,0,0,38,15,75,0,0
1875,Ti15Nb30V53W30,189.240761,0,30,0,15,53,30,0
5070,Zr15Ta30Nb15V23Mo45,186.668288,45,15,30,0,23,0,15
1402,Zr15Ta15Ti53Nb15W30,147.490021,0,15,15,53,0,30,15
3525,Ti15Nb23W90,244.840041,0,23,0,15,0,90,0
7391,Ta68Ti15V15Mo15W15,197.857455,15,0,68,15,15,15,0
11821,V15Mo45W68,274.118751,45,0,0,0,15,68,0
5056,Zr15Ta68Nb30W15,181.099032,0,30,68,0,0,15,15
354,Ta30Nb38V15W45,218.03134,0,38,30,0,15,45,0
10309,Zr23Ti15Nb30Mo60,171.474173,60,30,0,15,0,0,23
2403,Zr30Ti30Nb30Mo38,140.86035,38,30,0,30,0,0,30
10928,Ta15Ti30Nb45V38,154.110977,0,45,15,30,38,0,0
9486,Zr45Ta23Ti45W15,116.92127,0,0,23,45,0,15,45
8905,Ta53Ti15Nb30V15Mo15,181.724341,15,30,53,15,15,0,0
5242,Zr15Ti60V15Mo23W15,140.503512,23,0,0,60,15,15,15
11470,Zr15Ta45V30Mo38,185.721643,38,0,45,0,30,0,15
7343,Zr45Ti38V45,106.628058,0,0,0,38,45,0,45
6057,Zr38Ta45Mo15W30,170.175138,15,0,45,0,0,30,38
1272,Ta15Mo15W98,284.306981,15,0,15,0,0,98,0
3717,Ti105V23,111.245998,0,0,0,105,23,0,0
8120,Zr15Nb30V23W60,206.789998,0,30,0,0,23,60,15
11479,Ta45Nb38V30W15,193.925417,0,38,45,0,30,15,0
8130,Zr30Ta30Nb30V15Mo23,155.337481,23,30,30,0,15,0,30
8554,Ti15Nb23V15Mo30W45,224.15263,30,23,0,15,15,45,0
5280,Zr30Ta30Ti53V15,117.667835,0,0,30,53,15,0,30
6288,Nb68V15W45,212.818828,0,68,0,0,15,45,0
739,Ti60V38Mo30,149.32778,30,0,0,60,38,0,0
2297,Zr38Ti15Nb15W60,166.803669,0,15,0,15,0,60,38
6405,Ta30V30Mo23W45,236.885774,23,0,30,0,30,45,0
2638,Ta15Ti15V30Mo68,209.676443,68,0,15,15,30,0,0
7178,Zr30Ti75Nb23,104.49302,0,23,0,75,0,0,30
6862,Zr15Ti23Nb45Mo30W15,169.885062,30,45,0,23,0,15,15
10319,Ti30V15Mo60W23,213.254638,60,0,0,30,15,23,0
10560,Ti45Mo68W15,199.275295,68,0,0,45,0,15,0
6637,Zr23Ti75Nb15W15,116.89764,0,15,0,75,0,15,23
1049,Zr15Nb38Mo60W15,205.725563,60,38,0,0,0,15,15
6896,Zr38Ti30V15Mo30W15,136.405208,30,0,0,30,15,15,38
3964,Zr38Ta45Mo30W15,167.201565,30,0,45,0,0,15,38
943,Zr23Ta15Ti30Nb30Mo30,147.200568,30,30,15,30,0,0,23
4399,Zr60Ta38V30,117.143946,0,0,38,0,30,0,60
6298,Zr45Ti68V15,99.849677,0,0,0,68,15,0,45
3989,Zr15Ta23Ti15V30Mo30W15,176.979221,30,0,23,15,30,15,15
9496,Nb15V23Mo60W30,241.670819,60,15,0,0,23,30,0
8776,Zr15Ti23Nb45V15Mo15W15,158.160762,15,45,0,23,15,15,15
3352,Zr53Nb15W60,161.779128,0,15,0,0,0,60,53
12005,Zr15Ti53V15Mo30W15,149.117642,30,0,0,53,15,15,15
7954,Zr30Ta15Nb53W30,164.478549,0,53,15,0,0,30,30
8312,Zr30Ta15Ti30V15Mo38,141.454153,38,0,15,30,15,0,30
3345,Ta60Nb15W53,234.705381,0,15,60,0,0,53,0
9016,Zr38Ti15Nb30V15W30,143.4858,0,30,0,15,15,30,38
8544,Zr15Ta38Ti15Nb45W15,163.714425,0,45,38,15,0,15,15
3177,Zr23Ta15Nb15Mo60W15,199.270677,60,15,15,0,0,15,23
7381,Ta15Ti15Nb68V15Mo15,173.803557,15,68,15,15,15,0,0
1620,Ta60Ti38V30,157.158039,0,0,60,38,30,0,0
9472,Zr45Ti45Mo23W15,122.116402,23,0,0,45,0,15,45
9234,Zr75Ti23Mo30,107.410466,30,0,0,23,0,0,75
4160,Zr15Nb15V15W83,230.386633,0,15,0,0,15,83,15
5855,Ta30Nb30V30Mo23W15,205.542028,23,30,30,0,30,15,0
6608,Zr45Ta38Ti15V15W15,129.937231,0,0,38,15,15,15,45
10752,Ti38Nb60Mo15W15,167.781281,15,60,0,38,0,15,0
4389,Ti30Nb38V60,151.860757,0,38,0,30,60,0,0
11831,Nb45V15W68,237.384222,0,45,0,0,15,68,0
4709,Zr23Ta15Ti15V75,135.173639,0,0,15,15,75,0,23
10907,Zr53Ti30V15W30,122.9388,0,0,0,30,15,30,53
8302,Ta30Ti15Nb15Mo38W30,220.756277,38,15,30,15,0,30,0
729,Zr15Ta38Ti15Nb15V15W30,174.890137,0,15,38,15,15,30,15
10789,Zr30Ti45Nb23V15Mo15,120.404551,15,23,0,45,15,0,30
9802,Zr45Ta38Ti15Mo30,137.713188,30,0,38,15,0,0,45
3974,Zr38Ta45Nb30W15,150.219277,0,30,45,0,0,15,38
2899,Zr30Ta15Ti38Nb15V30,119.513472,0,15,15,38,30,0,30
10917,Zr38Nb15Mo45W30,182.246944,45,15,0,0,0,30,38
7515,Ta23Ti15Nb15Mo15W60,233.352457,15,15,23,15,0,60,0
7944,Zr30Ta15Mo53W30,198.646945,53,0,15,0,0,30,30
1412,Ta38V75Mo15,192.05203,15,0,38,0,75,0,0
4987,Ta30Ti30W68,220.009812,0,0,30,30,0,68,0
11680,Zr15Ti15Mo60W38,216.996103,60,0,0,15,0,38,15
730,Ta38Nb60Mo30,199.642995,30,60,38,0,0,0,0
3148,Ta60Ti23Mo30W15,200.210501,30,0,60,23,0,15,0
5845,Zr15Ti75Nb15W23,126.318677,0,15,0,75,0,23,15
6253,Zr15Nb30V15W68,215.166047,0,30,0,0,15,68,15
10938,Ta45Ti15V30W38,205.231203,0,0,45,15,30,38,0
7998,Zr15Ta15V38Mo30W30,202.183391,30,0,15,0,38,30,15
381,Ta15Ti45Nb15V38W15,156.663632,0,15,15,45,38,15,0
4177,Ta83Ti15Mo15W15,200.827715,15,0,83,15,0,15,0
6412,Ta30Ti30Nb23V45,155.789913,0,23,30,30,45,0,0
4721,Zr45Ta23Ti15Nb15V15Mo15,126.720924,15,15,23,15,15,0,45
1253,Zr15Nb38V45Mo15W15,173.055907,15,38,0,0,45,15,15
1076,Ti30Nb83Mo15,161.11729,15,83,0,30,0,0,0
998,Zr30Ti38Nb30W30,137.738869,0,30,0,38,0,30,30
5297,Zr15Ta15Ti38Nb15V15W30,153.917777,0,15,15,38,15,30,15
10577,Zr15Ta68Ti45,137.978699,0,0,68,45,0,0,15
4352,Zr30Ti23V30Mo45,145.71201,45,0,0,23,30,0,30
3513,Zr90Ta15Mo23,107.348833,23,0,15,0,0,0,90
10745,Zr38Ti75W15,107.388693,0,0,0,75,0,15,38
4504,Ta30Nb15V15Mo68,222.543489,68,15,30,0,15,0,0
9815,Zr45Ta38Nb30W15,141.939122,0,30,38,0,0,15,45
1061,Ta38Ti15Nb60W15,183.20301,0,60,38,15,0,15,0
11697,Ta15Ti30Nb30V30Mo23,167.663328,23,30,15,30,30,0,0
7706,Ta15Ti15Nb53Mo15W30,200.58083,15,53,15,15,0,30,0
2274,Ti60Nb15Mo15W38,172.507958,15,15,0,60,0,38,0
4183,Zr15Ti83V15Mo15,116.237145,15,0,0,83,15,0,15
9029,Zr45Ta15Ti23V30Mo15,119.181886,15,0,15,23,30,0,45
5628,Zr15Nb68V30Mo15,160.184753,15,68,0,0,30,0,15
6061,Zr38V45Mo15W30,155.082574,15,0,0,0,45,30,38
6620,Ta75Ti15Mo15W23,206.88802,15,0,75,15,0,23,0
5422,Ta15Ti90W23,136.426143,0,0,15,90,0,23,0
3736,Ta15V68Mo15W30,217.154301,15,0,15,0,68,30,0
4997,Ta15Nb15V38Mo60,214.872422,60,15,15,0,38,0,0
1244,Ta45Ti15Nb38V15Mo15,180.136155,15,38,45,15,15,0,0
7396,Ta68Ti15Nb15V15W15,188.03357,0,15,68,15,15,15,0
362,Zr45Ta38Ti30V15,116.625146,0,0,38,30,15,0,45
396,Ta15Nb60Mo15W38,219.31492,15,60,15,0,0,38,0
10583,Zr15Ti68W45,146.53653,0,0,0,68,0,45,15
2051,Zr30V30Mo68,177.763941,68,0,0,0,30,0,30
3194,Ta15Ti15Nb30Mo45W23,214.105483,45,30,15,15,0,23,0
6076,Zr38Ti15V45W30,139.713264,0,0,0,15,45,30,38
6244,Ta15Ti68Nb30V15,131.934896,0,30,15,68,15,0,0
2280,Ta15Ti60Mo15W38,174.905023,15,0,15,60,0,38,0
11210,Zr30Ta30Mo15W53,197.652588,15,0,30,0,0,53,30
9668,Zr30Ta15Ti30V30Mo23,133.800214,23,0,15,30,30,0,30
8761,Ta45Ti15V15Mo30W23,210.589399,30,0,45,15,15,23,0
10336,Zr23Ta60V30W15,165.625537,0,0,60,0,30,15,23
11022,Nb53W75,244.237509,0,53,0,0,0,75,0
4736,Zr75Nb15Mo15W23,123.268532,15,15,0,0,0,23,75
3721,Zr23V105,141.405902,0,0,0,0,105,0,23
10113,Zr23Ta15Ti15Nb15V30W30,160.412997,0,15,15,15,30,30,23
4990,Zr68Ta30V30,109.436061,0,0,30,0,30,0,68
1637,Zr30Ti23Nb15V30Mo30,138.561246,30,15,0,23,30,0,30
3504,Zr15Ta15Ti15Nb15V45W23,163.920217,0,15,15,15,45,23,15
11446,Zr15Ta15Ti60V15Mo23,133.446286,23,0,15,60,15,0,15
3160,Ta60Nb30V23W15,196.476565,0,30,60,0,23,15,0
10104,Zr23Ta15Nb45V30W15,158.048315,0,45,15,0,30,15,23
3987,Zr15Ta15Nb23V30Mo30W15,186.74978,30,23,15,0,30,15,15
4345,Ta23Ti30V30Mo45,184.914001,45,0,23,30,30,0,0
5079,Zr15Ta15V30Mo45W23,206.321427,45,0,15,0,30,23,15
5610,Zr30Ta38Ti45W15,129.675015,0,0,38,45,0,15,30
3389,Zr23V15Mo30W60,218.699878,30,0,0,0,15,60,23
150,Ti30V38Mo45W15,195.808262,45,0,0,30,38,15,0
8588,Zr15Ti45Nb38V15W15,137.711845,0,38,0,45,15,15,15
11663,Ta38Nb15V15Mo60,217.82802,60,15,38,0,15,0,0
6095,Ta15Ti30Mo23W60,226.132277,23,0,15,30,0,60,0
10799,Zr30Ta23Ti45Nb15W15,127.68163,0,15,23,45,0,15,30
8766,Ta45Ti15Nb30V15W23,190.259907,0,30,45,15,15,23,0
5046,Zr15Ta68Mo30W15,198.091783,30,0,68,0,0,15,15
375,Zr15Nb15V45Mo15W38,195.787317,15,15,0,0,45,38,15
5842,Zr15Ta75Nb15W23,189.401351,0,15,75,0,0,23,15
4194,Zr15Ti83Nb15W15,117.766203,0,15,0,83,0,15,15
7147,Zr30Ti30Nb30V15W23,136.542652,0,30,0,30,15,23,30
8933,Zr15Ti45Nb30V23Mo15,135.28912,15,30,0,45,23,0,15
6082,Zr30Ta15Ti23V15Mo30W15,152.690954,30,0,15,23,15,15,30
7523,Zr60Nb15V23Mo15W15,127.625521,15,15,0,0,23,15,60
2263,Zr15Ta23Ti15Nb30V15Mo30,165.224199,30,30,23,15,15,0,15
2855,Ta38V15W75,248.598161,0,0,38,0,15,75,0
8924,Zr15Ti30Nb15V53W15,144.714756,0,15,0,30,53,15,15
11674,Zr15Ta15Ti38Mo60,168.59395,60,0,15,38,0,0,15
706,Zr15Ta23Nb60V15W15,170.660113,0,60,23,0,15,15,15
3183,Zr23Ta15Ti15V15Mo60,172.65129,60,0,15,15,15,0,23
8785,Zr30Ta30Ti23Nb15V15W15,140.20975,0,15,30,23,15,15,30
11836,Zr68Ta45Ti15,110.710846,0,0,45,15,0,0,68
7943,Zr30Ta15V30Mo53,168.983661,53,0,15,0,30,0,30
10594,Zr45Ti38Nb15Mo15W15,123.510034,15,15,0,38,0,15,45
5274,Zr30Ta53Nb30W15,158.926564,0,30,53,0,0,15,30
9233,Ti23Mo30W75,249.908453,30,0,0,23,0,75,0
534,Nb23V45Mo45W15,217.060526,45,23,0,0,45,15,0
10359,Zr15Ta38V45Mo30,175.824096,30,0,38,0,45,0,15
10317,Zr23Ta30V15Mo60,186.922802,60,0,30,0,15,0,23
10410,Nb15V23Mo90,232.511222,90,15,0,0,23,0,0
10395,Ta30Ti30Nb30V23W15,168.942147,0,30,30,30,23,15,0
10403,Zr15Ta30Ti15Nb15Mo30W23,188.419869,30,15,30,15,0,23,15
10419,Zr23Ti15Mo90,191.598768,90,0,0,15,0,0,23
10418,Ti15Mo90W23,244.587673,90,0,0,15,0,23,0
10421,Zr23V15Mo90,201.146014,90,0,0,0,15,0,23
10427,Ti15Nb90V23,161.625272,0,90,0,15,23,0,0
10368,Ta38Nb30V45W15,192.844221,0,30,38,0,45,15,0
10367,Zr15Ta38Ti45Nb30,132.587521,0,30,38,45,0,0,15
10420,V15Mo90W23,262.978239,90,0,0,0,15,23,0
10411,Nb15Mo90W23,260.347079,90,15,0,0,0,23,0
10393,Zr15Ta30V30Mo30W23,196.759588,30,0,30,0,30,23,15
10372,Zr15Ti38Nb30V45,128.751931,0,30,0,38,45,0,15
10433,Ta90Ti15V23,178.675907,0,0,90,15,23,0,0
10369,Zr15Ta38Nb30V45,157.786439,0,30,38,0,45,0,15
10417,Ti15V23Mo90,223.356054,90,0,0,15,23,0,0
10386,Ti30Nb30V23Mo30W15,183.222005,30,30,0,30,23,15,0
10388,Zr15Ti30Nb30Mo30W23,171.560573,30,30,0,30,0,23,15
10394,Zr15Ti30V30Mo30W23,170.97126,30,0,0,30,30,23,15
10375,Ta30Ti38V45W15,164.203057,0,0,30,38,45,15,0
10434,Ta90Ti15W23,200.869767,0,0,90,15,0,23,0
10398,Zr15Ta30Nb30V30W23,177.888561,0,30,30,0,30,23,15
10392,Zr15Ta30Ti30Mo30W23,177.870738,30,0,30,30,0,23,15
10366,Ta38Ti45Nb30W15,160.418469,0,30,38,45,0,15,0
10416,Zr23Ta15Mo90,204.11857,90,0,15,0,0,0,23
10381,Ta30Ti23Nb30Mo30W15,194.081742,30,30,30,23,0,15,0
10428,Ti15Nb90W23,181.879732,0,90,0,15,0,23,0
10429,Zr23Ti15Nb90,136.743756,0,90,0,15,0,0,23
10426,Zr23Ta15Nb90,149.205524,0,90,15,0,0,0,23
10468,Zr60Ta23Nb30V15,119.066535,0,30,23,0,15,0,60
10444,Ta15Ti60Nb23Mo30,152.956377,30,23,15,60,0,0,0
10442,Zr23V90W15,154.248625,0,0,0,0,90,15,23
10475,Zr60Ta30Ti23V15,109.618289,0,0,30,23,15,0,60
10472,Zr60Ti23Nb30W15,113.422799,0,30,0,23,0,15,60
10480,Ti90Nb23Mo15,124.976009,15,23,0,90,0,0,0
10486,Ta23Mo15W90,282.098563,15,0,23,0,0,90,0
10487,Zr90Ta23Mo15,105.93173,15,0,23,0,0,0,90
10509,Zr90Ta15W23,109.942465,0,0,15,0,0,23,90
10474,Ta30Ti23V15W60,217.270146,0,0,30,23,15,60,0
10505,Ta15Ti23W90,243.889074,0,0,15,23,0,90,0
10466,Zr60Ta23Ti15Nb30,110.180332,0,30,23,15,0,0,60
10515,Ta15Nb75Mo38,201.530471,38,75,15,0,0,0,0
10469,Zr60Ta23Nb30W15,127.240333,0,30,23,0,0,15,60
10493,Zr90Mo15W23,112.637126,15,0,0,0,0,23,90
10492,Zr90V23Mo15,99.400596,15,0,0,0,23,0,90
10473,Zr60Nb30V23W15,121.537692,0,30,0,0,23,15,60
10500,Zr90Ti23Nb15,92.959903,0,15,0,23,0,0,90
10445,Ta15Nb23V60Mo30,196.571049,30,23,15,0,60,0,0
10489,Ti23Mo15W90,255.637089,15,0,0,23,0,90,0
10459,Zr60Ta23Mo30W15,141.862697,30,0,23,0,0,15,60
10508,Zr90Ta15V23,93.821973,0,0,15,0,23,0,90
10507,Ta15V23W90,271.017851,0,0,15,0,23,90,0
10494,Ta23Ti90Nb15,122.978619,0,15,23,90,0,0,0
10481,Nb23V90Mo15,186.818411,15,23,0,0,90,0,0
10461,Zr60Ti23V15Mo30,116.189623,30,0,0,23,15,0,60
10488,Ti23V90Mo15,171.676366,15,0,0,23,90,0,0
10512,Zr90Ti15W23,104.058137,0,0,0,15,0,23,90
10443,Zr23Ta15Ti15Nb30V15Mo15W15,158.538094,15,30,15,15,15,15,23
10495,Ta23Nb15V90,181.696108,0,15,23,0,90,0,0
10457,Ta23V15Mo30W60,260.085575,30,0,23,0,15,60,0
10506,Zr90Ta15Ti23,96.344072,0,0,15,23,0,0,90
10501,Nb15V23W90,266.626483,0,15,0,0,23,90,0
10538,Zr15Nb38V75,149.843068,0,38,0,0,75,0,15
10549,Zr15V38W75,224.509664,0,0,0,0,38,75,15
10562,V45Mo68W15,236.8935,68,0,0,0,45,15,0
10546,Ti38V75W15,159.929768,0,0,0,38,75,15,0
10564,Zr15Mo68W45,239.2917,68,0,0,0,0,45,15
10555,Ta45Ti15Mo68,214.727124,68,0,45,15,0,0,0
10530,Ta75Ti15Nb38,178.212351,0,38,75,15,0,0,0
10554,Zr15Nb45Mo68,199.347052,68,45,0,0,0,0,15
10548,Zr15Ti38W75,193.764046,0,0,0,38,0,75,15
10523,Zr15Ta75Mo38,191.237801,38,0,75,0,0,0,15
10547,Zr15Ti38V75,128.118808,0,0,0,38,75,0,15
10540,Ta38Ti75V15,131.930986,0,0,38,75,15,0,0
10552,Nb45V15Mo68,215.452176,68,45,0,0,15,0,0
10591,Zr45Ta38Nb15Mo15W15,149.875577,15,15,38,0,0,15,45
10536,Zr15Ti75Nb38,112.49071,0,38,0,75,0,0,15
10537,Nb38V75W15,188.847122,0,38,0,0,75,15,0
10541,Ta38Ti75W15,141.864457,0,0,38,75,0,15,0
10578,Ta68V45W15,200.065592,0,0,68,0,45,15,0
10531,Ta75Nb38V15,190.020838,0,38,75,0,15,0,0
10553,Nb45Mo68W15,232.121623,68,45,0,0,0,15,0
10539,Zr15Nb38W75,222.740437,0,38,0,0,0,75,15
10563,Zr15V45Mo68,197.538104,68,0,0,0,45,0,15
10590,Zr45Ta38Nb15V15Mo15,137.136689,15,15,38,0,15,0,45
10571,Zr15Ti45Nb68,127.695654,0,68,0,45,0,0,15
10524,Ti75V15Mo38,146.746942,38,0,0,75,15,0,0
10584,Zr15V68W45,194.563516,0,0,0,0,68,45,15
10565,Ta45Ti15Nb68,172.469764,0,68,45,15,0,0,0
10585,Zr15Ta15Ti30Nb23V15Mo15W15,156.191449,15,23,15,30,15,15,15
10598,Zr45Ta15Ti38Mo15W15,125.544364,15,0,15,38,0,15,45
10596,Ta15Ti38V15Mo15W45,199.452655,15,0,15,38,15,45,0
10641,Ti23Nb15V60Mo15W15,182.314356,15,15,0,23,60,15,0
10614,Ta60Ti15Nb15V23Mo15,182.389557,15,15,60,15,23,0,0
10655,Zr15Ta15Ti15V23W60,198.425584,0,0,15,15,23,60,15
10649,Zr15Ti15V23Mo15W60,207.345011,15,0,0,15,23,60,15
10623,Zr23Nb15V60Mo15W15,163.218429,15,15,0,0,60,15,23
